"Nr.","wu","publikum","spass","wohl","reden","party","kurier","presse","krone","oesterreich","standard","heute","wiener","kleine","orf","zeit","bild","andere","diskut","scherzen","erfahrung","demo","gewalt","krimi","fpoe","sicherheit","feindlich","kreis","arbeiten","skype","treffen","engag","lv","heimat","rechte","kultur","verlassen","partner","knapp","pflegen","politik","verdienen","egal","sex","var45"
"1",3,5,2,2,3,3,4,3,4,4,4,4,4,4,1,4,4,4,3,2,4,3,6,5,2,3,2,6,1,4,2,6,1,6,6,6,6,6,6,6,6,6,6,2,NA
"2",3,4,2,3,1,3,1,4,3,4,4,3,4,4,2,4,4,4,3,4,2,5,6,6,5,3,4,4,2,6,4,6,3,5,5,5,6,6,2,4,5,3,6,2,NA
"3",2,5,1,5,1,1,1,2,3,4,2,4,4,3,1,4,4,4,5,5,5,5,6,6,5,5,6,6,2,6,2,6,2,6,6,6,6,6,3,4,6,4,6,2,NA
"4",3,6,2,2,4,4,4,4,4,4,3,4,4,4,3,3,4,1,2,4,6,6,6,6,5,6,5,3,3,6,5,6,4,6,6,6,6,6,6,6,6,6,4,2,NA
"5",1,3,2,2,2,4,3,3,2,3,4,4,4,3,2,4,4,4,4,1,5,3,6,3,1,2,3,2,1,6,5,6,2,6,6,6,6,6,3,4,5,5,6,2,NA
"6",3,2,2,4,4,5,4,4,4,4,2,4,4,4,2,4,4,4,4,5,5,5,6,6,4,4,5,2,1,6,5,6,3,4,6,5,6,6,2,3,5,3,5,1,NA
"7",2,1,1,4,2,4,2,2,2,3,3,2,4,4,2,4,4,1,1,1,1,6,6,6,1,6,3,6,1,1,1,6,1,6,6,6,6,5,1,3,1,1,6,2,NA
"8",4,5,2,3,2,3,2,2,3,4,2,3,4,4,1,3,4,4,2,5,6,6,6,6,6,5,6,3,1,4,2,5,1,6,6,5,6,6,6,3,6,3,6,2,NA
"9",2,6,1,6,3,1,4,4,4,4,1,4,4,4,1,4,4,4,2,2,2,6,6,2,2,6,2,6,1,6,1,6,1,6,6,6,6,6,2,3,5,2,6,2,NA
"10",3,5,6,6,5,5,4,4,4,4,1,4,4,4,3,3,4,4,5,5,5,6,6,5,6,6,5,6,1,6,3,6,3,5,1,6,6,6,5,5,6,2,6,2,NA
"11",2,5,3,3,3,3,4,4,4,4,3,4,4,4,1,4,4,4,5,6,5,5,6,5,3,3,4,4,1,6,3,6,1,3,3,3,5,6,1,1,3,2,6,1,NA
"12",2,4,3,3,4,4,4,1,4,4,3,3,4,4,3,4,4,4,3,4,2,5,4,3,3,2,3,3,2,6,4,6,1,2,3,3,6,5,2,2,2,2,5,2,NA
"13",3,6,1,3,3,3,3,4,4,4,1,4,4,4,2,4,4,4,6,6,5,6,6,6,6,6,6,4,2,6,4,6,1,6,6,6,6,6,6,6,6,5,6,1,NA
"14",2,4,2,3,4,4,4,4,4,4,1,4,4,4,2,4,4,4,4,5,5,5,6,NA,5,3,5,5,2,6,1,6,4,6,6,5,6,6,5,5,5,3,6,2,NA
"15",2,4,3,3,5,6,3,4,4,4,1,4,4,4,4,4,4,4,1,4,3,6,6,5,4,3,5,6,1,1,1,6,2,6,5,5,6,4,3,4,5,5,6,2,NA
"16",1,3,4,5,5,5,4,1,4,4,1,4,4,4,3,4,4,4,4,2,3,5,6,2,3,3,4,2,1,5,5,6,1,3,4,6,6,6,2,4,4,2,6,2,NA
"17",2,5,5,4,5,5,3,3,4,4,1,3,3,3,2,3,4,4,3,4,4,3,6,4,3,2,4,5,3,1,2,5,3,3,6,6,6,6,6,3,4,1,6,1,NA
